"Label","Has4Legs","CoatColor","HairLength","TailLength","EnjoysPlay","StairsOutWindow","HoursSpentNapping","RespondsToCommands","EasilyFrightened","Age", "Noise1", "Noise2", "Noise3", "Noise4", "Noise5"
dog,1,White,0,3,1,0,2,1,1,8,0.207813357003033,0.369364158017561,0.857980248518288,0.609498742735013,0.099459623452276
dog,1,Brown,0,2,1,1,3,1,1,10,0.652755315881222,0.123430503997952,0.63592501427047,0.945240517612547,0.752638266654685
dog,1,Spotted,0,8,1,1,2,1,1,19,0.120261456118897,0.875902567990124,0.748564072418958,0.94046531803906,0.831317493226379
dog,1,White,0,2,1,1,2,1,1,18,0.244165377225727,0.971678811358288,0.00645321514457464,0.0119030212517828,0.0655347942374647
dog,1,Brown,0,1,1,1,2,1,1,17,0.185770921641961,0.423378459410742,0.580749548971653,0.304840496741235,0.135181164368987
dog,1,Brown,0,2,1,1,10,1,1,5,0.602213507518172,0.369238587561995,0.0173729541711509,0.220352463191375,0.723928186809644
dog,1,Brown,0,6,1,1,2,1,1,5,0.518676368519664,0.12482417980209,0.948365441989154,0.177089381730184,0.587333778617904
dog,1,Brown,1,5,1,1,2,1,1,18,0.809266310418025,0.170960413524881,0.753230679314584,0.104151085484773,0.0647049802355468
dog,1,Spotted,0,2,1,1,2,1,1,7,0.710338631412014,0.0687884974759072,0.504301907494664,0.0846393911633641,0.359005510108545
dog,1,Brown,0,1,1,1,2,1,1,17,0.342766472371295,0.884941282914951,0.422552276169881,0.98327452223748,0.404992172960192
dog,1,White,1,4,1,0,2,1,0,19,0.249732303665951,0.277358161052689,0.223825711291283,0.0802569903898984,0.591158070135862
dog,1,Grey,0,4,1,0,2,0,1,20,0.389572456944734,0.698214392643422,0.332286109682173,0.886769098695368,0.716584908310324
cat,1,Grey,1,6,1,0,3,0,1,2,0.861996191786602,0.626286354614422,0.711238550487906,0.31065424811095,0.680626459419727
dog,1,Grey,1,3,1,1,5,1,1,6,0.0947414578404278,0.307525489013642,0.3870523867663,0.0149383852258325,0.616309800418094
dog,1,Grey,0,5,0,0,2,1,1,3,0.0874599132221192,0.575714471051469,0.216811016667634,0.0647775735706091,0.130991096142679
dog,1,White,0,3,1,1,2,1,1,18,0.279881740454584,0.585583951324224,0.534608190879226,0.64373282995075,0.404094075784087
dog,1,Grey,0,2,1,1,3,0,1,10,0.106425800360739,0.967414655257016,0.947062057210132,0.91980566107668,0.376893693814054
cat,1,Black,1,8,1,1,10,0,1,8,0.173088351264596,0.620857149129733,0.712241176981479,0.645036307629198,0.280326501233503
dog,1,Brown,0,5,1,1,2,1,1,19,0.143437932711095,0.666965456213802,0.450479933293536,0.84895522124134,0.69107131101191
dog,1,Spotted,1,2,1,1,2,1,0,2,0.945713565917686,0.0841027093119919,0.627596849575639,0.337608034955338,0.819486905122176
dog,1,Spotted,0,3,1,1,2,1,0,20,0.107420962769538,0.240125203039497,0.976238988339901,0.238865526393056,0.63168597756885
cat,1,White,1,6,1,1,3,0,1,19,0.678123323014006,0.213283802615479,0.72466705343686,0.00271125859580934,0.727686806116253
dog,1,Grey,0,2,1,0,2,1,0,8,0.809370359871536,0.0113835644442588,0.833967486396432,0.317484806291759,0.235408653970808
cat,1,Grey,0,7,1,1,10,0,1,15,0.605748471105471,0.946255322545767,0.905984171899036,0.34879851876758,0.668635373236611
dog,1,Brown,0,1,1,1,2,1,1,16,0.031447671353817,0.0819538088981062,0.339975965674967,0.448001094860956,0.616211641114205
dog,1,Brown,0,3,1,1,2,1,1,4,0.187623371602967,0.6865712152794,0.436505001503974,0.707572045503184,0.38674565916881
dog,1,Spotted,0,10,1,0,2,1,1,4,0.377186147263274,0.404134541982785,0.115383401978761,0.512381613254547,0.984259498538449
dog,1,Brown,0,4,1,1,2,1,1,10,0.80312499194406,0.695895191514865,0.652370267082006,0.398054101038724,0.908901504706591
dog,1,Spotted,0,4,1,1,2,1,1,16,0.999499737285078,0.0364640310872346,0.325747556984425,0.806879984680563,0.681403671624139
cat,1,Spotted,1,8,0,1,3,0,1,9,0.933752332814038,0.123143306234851,0.77632087469101,0.575485490495339,0.679342935560271
dog,1,White,1,1,0,1,2,0,1,18,0.723269315203652,0.55389894801192,0.94539048220031,0.308956587221473,0.6272995963227
dog,1,Brown,1,2,1,1,2,1,0,4,0.647646711906418,0.891151515301317,0.631834752159193,0.0687146044801921,0.165942785562947
cat,1,Spotted,0,6,1,1,10,1,1,4,0.909238683991134,0.187996050808579,0.604715663474053,0.67031650710851,0.773464447818696
dog,1,Brown,0,4,1,1,2,1,1,3,0.521530321100727,0.751320867100731,0.863213286735117,0.839318278245628,0.759156487416476
dog,1,Brown,0,2,1,0,2,1,0,3,0.571717620361596,0.891629769466817,0.942339580273256,0.851562661817297,0.336646434850991
cat,1,Spotted,1,6,1,1,5,0,1,17,0.932501709321514,0.47828264744021,0.475752342725173,0.750563203124329,0.804978800704703
dog,1,Grey,1,1,1,1,2,1,1,8,0.324551501311362,0.653984749456868,0.534290641546249,0.195780296577141,0.606857795268297
cat,1,White,1,7,0,1,5,0,1,3,0.0893352814018726,0.123045132262632,0.0228194601368159,0.377799271140248,0.398947822628543
cat,1,White,1,7,1,1,5,0,1,5,0.704312313813716,0.79288403945975,0.709967792965472,0.445052152732387,0.814208430703729
cat,1,Grey,1,9,0,1,5,0,1,18,0.583298553247005,0.0942055678460747,0.503171326825395,0.339220378780738,0.348143086535856
dog,1,Brown,0,1,1,1,2,1,0,5,0.508902141358703,0.624333605403081,0.957640955923125,0.276221674168482,0.34697762131691
dog,1,Grey,0,1,1,1,2,1,1,4,0.605772373732179,0.156945672119036,0.458665028912947,0.465064913732931,0.820766883902252
dog,1,Brown,0,1,1,1,2,1,1,1,0.724422442959622,0.311413805698976,0.911805239971727,0.782869347836822,0.519930441165343
cat,1,Grey,1,7,0,1,5,0,1,3,0.0927045384887606,0.581895685987547,0.226643207482994,0.0420974446460605,0.884735241997987
dog,1,Brown,0,1,1,0,2,1,1,17,0.49902464193292,0.738990911981091,0.0305270380340517,0.637307125609368,0.190048426855356
cat,1,Black,1,6,1,1,10,0,1,8,0.0958090450149029,0.943640706827864,0.86199504439719,0.831571746384725,0.911951653892174
dog,1,Spotted,1,2,1,1,2,0,1,16,0.000583421904593706,0.744929422624409,0.509045928250998,0.911863733781502,0.180973962182179
dog,1,Brown,0,1,0,1,2,1,1,10,0.854940476128832,0.0406121069099754,0.728836250025779,0.0896622047293931,0.72823587548919
cat,1,Black,1,10,1,0,10,0,1,1,0.157552707707509,0.710266214096919,0.28044993779622,0.301888221642002,0.858490843093023
dog,1,Grey,1,5,1,1,2,1,1,17,0.67901666671969,0.620654134079814,0.458763351896778,0.294884179718792,0.396137424744666
dog,1,Brown,1,1,1,1,2,1,1,16,0.539041429525241,0.273840021342039,0.138241023290902,0.531216245610267,0.827612754656002
cat,1,Grey,1,10,1,1,3,1,1,17,0.325245717307553,0.141625891439617,0.889693191275001,0.335532716941088,0.835736472625285
